year,week_num,property_type,country,city,capacity,pets_allowed,property_id,booked_through,booking_id
2020,23,house,ITALY,Rome,6,no,852,Direct,B-1983
2020,23,apartment,BELGIUM,Brussels,5,yes,849,Direct,B-1984
2019,25,apartment,FRANCE,Paris,8,no,364,3rd Party,B-1985
2020,24,condo,ITALY,Naples,6,yes,1,3rd Party,B-1986
2019,48,house,ITALY,Rome,7,yes,180,3rd Party,B-1987
2020,24,house,BELGIUM,Brussels,5,no,6,3rd Party,B-1988
2020,24,house,BELGIUM,Brussels,7,yes,178,Direct,B-1989
2019,25,apartment,FRANCE,Paris,6,yes,523,Direct,B-1990
2020,24,condo,FRANCE,Lyon,5,yes,173,3rd Party,B-1991
2019,25,apartment,BELGIUM,Brussels,7,yes,522,3rd Party,B-1992
2020,24,condo,BELGIUM,Brussels,5,no,167,3rd Party,B-1993
2020,24,house,SPAIN,Barcelona,7,yes,162,3rd Party,B-1994
2019,13,condo,BELGIUM,Brussels,9,yes,854,3rd Party,B-1995
2019,25,apartment,SPAIN,Madrid,9,yes,514,Direct,B-1996
2020,24,apartment,BELGIUM,Brussels,5,yes,157,Direct,B-1997
2019,25,condo,ITALY,Rome,9,yes,513,3rd Party,B-1998
2020,24,condo,FRANCE,Lyon,9,no,150,3rd Party,B-1999
2020,24,house,SPAIN,Madrid,4,yes,149,3rd Party,B-2000
2019,25,condo,SPAIN,Barcelona,4,no,512,3rd Party,B-2001
2020,24,condo,SPAIN,Barcelona,5,yes,146,3rd Party,B-2002
2020,24,apartment,ITALY,Rome,9,yes,143,Direct,B-2003
2019,25,house,SPAIN,Madrid,6,yes,509,3rd Party,B-2004
2019,25,condo,ITALY,Rome,8,yes,506,3rd Party,B-2005
2019,25,apartment,SPAIN,Madrid,8,yes,504,3rd Party,B-2006
2020,24,condo,FRANCE,Lyon,4,yes,133,3rd Party,B-2007
2020,24,apartment,BELGIUM,Brussels,8,yes,130,3rd Party,B-2008
2019,48,apartment,BELGIUM,Brussels,4,no,53,3rd Party,B-2009
2019,25,apartment,FRANCE,Paris,4,no,500,3rd Party,B-2010
2019,48,condo,ITALY,Rome,5,no,57,3rd Party,B-2011
2019,25,apartment,SPAIN,Madrid,7,yes,498,3rd Party,B-2012
2020,24,apartment,SPAIN,Barcelona,7,yes,124,3rd Party,B-2013
2020,24,apartment,ITALY,Naples,9,yes,121,3rd Party,B-2014
2020,24,house,ITALY,Rome,5,yes,120,3rd Party,B-2015
2019,25,house,ITALY,Rome,5,yes,495,Direct,B-2016
2020,24,condo,SPAIN,Madrid,6,no,117,3rd Party,B-2017
2020,24,condo,ITALY,Naples,8,yes,116,3rd Party,B-2018
2019,25,condo,FRANCE,Lyon,4,no,525,3rd Party,B-2019
2020,24,apartment,SPAIN,Barcelona,9,yes,179,Direct,B-2020
2019,25,apartment,SPAIN,Madrid,4,no,491,3rd Party,B-2021
2020,24,house,ITALY,Rome,7,yes,180,Direct,B-2022
2020,24,apartment,ITALY,Rome,9,no,226,3rd Party,B-2023
2019,25,condo,FRANCE,Paris,6,yes,541,3rd Party,B-2024
2019,47,apartment,BELGIUM,Brussels,5,no,968,3rd Party,B-2025
2020,24,apartment,SPAIN,Barcelona,8,yes,222,Direct,B-2026
2019,13,apartment,BELGIUM,Brussels,9,no,809,3rd Party,B-2027
2019,47,condo,BELGIUM,Brussels,6,yes,972,3rd Party,B-2028
2019,13,condo,BELGIUM,Brussels,6,yes,811,3rd Party,B-2029
2019,13,condo,BELGIUM,Brussels,7,no,813,3rd Party,B-2030
2020,24,house,BELGIUM,Brussels,9,yes,216,3rd Party,B-2031
2020,24,condo,SPAIN,Barcelona,7,no,215,3rd Party,B-2032
2019,47,condo,ITALY,Rome,9,no,979,3rd Party,B-2033
2020,24,house,FRANCE,Paris,5,no,208,3rd Party,B-2034
2019,25,apartment,SPAIN,Madrid,7,no,536,3rd Party,B-2035
2020,24,condo,SPAIN,Madrid,4,no,207,3rd Party,B-2036
2020,24,apartment,FRANCE,Paris,6,yes,206,Direct,B-2037
2019,47,condo,BELGIUM,Brussels,6,no,981,3rd Party,B-2038
2019,47,house,BELGIUM,Brussels,6,yes,989,3rd Party,B-2039
2020,24,condo,BELGIUM,Brussels,8,no,200,3rd Party,B-2040
2020,24,apartment,SPAIN,Barcelona,9,yes,198,Direct,B-2041
2020,24,apartment,BELGIUM,Brussels,7,yes,197,3rd Party,B-2042
2019,25,condo,SPAIN,Madrid,8,no,532,3rd Party,B-2043
2019,25,apartment,SPAIN,Madrid,7,no,531,3rd Party,B-2044
2019,13,apartment,BELGIUM,Brussels,7,yes,830,3rd Party,B-2045
2020,24,apartment,ITALY,Rome,7,yes,191,3rd Party,B-2046
2020,24,house,ITALY,Rome,7,yes,189,Direct,B-2047
2019,25,apartment,FRANCE,Paris,5,no,530,3rd Party,B-2048
2020,24,apartment,FRANCE,Paris,5,yes,185,3rd Party,B-2049
2020,24,apartment,ITALY,Rome,7,yes,184,Direct,B-2050
2019,25,house,SPAIN,Barcelona,8,yes,526,3rd Party,B-2051
2020,24,condo,SPAIN,Barcelona,7,no,113,3rd Party,B-2052
2019,25,apartment,SPAIN,Madrid,5,yes,490,3rd Party,B-2053
2020,24,apartment,BELGIUM,Brussels,6,yes,7,3rd Party,B-2054
2019,48,house,BELGIUM,Brussels,9,yes,97,3rd Party,B-2055
2020,24,apartment,SPAIN,Madrid,7,yes,60,Direct,B-2056
2020,24,apartment,SPAIN,Madrid,8,yes,58,3rd Party,B-2057
2020,24,condo,ITALY,Rome,5,no,57,3rd Party,B-2058
2020,24,condo,SPAIN,Barcelona,7,no,54,3rd Party,B-2059
2020,24,apartment,BELGIUM,Brussels,4,no,53,3rd Party,B-2060
2019,25,house,FRANCE,Paris,6,yes,456,Direct,B-2061
2019,25,condo,ITALY,Rome,7,yes,455,3rd Party,B-2062
2019,25,apartment,BELGIUM,Brussels,8,yes,454,3rd Party,B-2063
2020,24,condo,FRANCE,Lyon,6,yes,50,3rd Party,B-2064
2020,24,apartment,BELGIUM,Brussels,8,yes,45,Direct,B-2065
2020,24,apartment,SPAIN,Barcelona,4,yes,44,3rd Party,B-2066
2020,24,apartment,SPAIN,Barcelona,4,yes,41,3rd Party,B-2067
2019,48,house,ITALY,Rome,5,yes,120,3rd Party,B-2068
2020,24,apartment,ITALY,Naples,5,yes,38,3rd Party,B-2069
2019,48,apartment,BELGIUM,Brussels,8,yes,130,3rd Party,B-2070
2019,25,condo,FRANCE,Nice,7,yes,446,3rd Party,B-2071
2020,24,apartment,SPAIN,Madrid,8,no,34,3rd Party,B-2072
2020,24,condo,FRANCE,Paris,5,no,32,3rd Party,B-2073
2020,24,apartment,ITALY,Rome,9,no,25,Direct,B-2074
2019,25,house,ITALY,Rome,9,yes,441,3rd Party,B-2075
2020,24,apartment,FRANCE,Paris,6,yes,17,Direct,B-2076
2020,24,apartment,SPAIN,Madrid,8,yes,15,Direct,B-2077
2020,24,condo,FRANCE,Lyon,5,yes,13,3rd Party,B-2078
2019,25,apartment,ITALY,Rome,7,yes,438,3rd Party,B-2079
2019,13,apartment,BELGIUM,Brussels,5,no,968,3rd Party,B-2080
2019,48,condo,BELGIUM,Brussels,5,no,167,3rd Party,B-2081
2020,24,apartment,FRANCE,Paris,8,no,9,3rd Party,B-2082
2019,25,apartment,SPAIN,Madrid,8,yes,435,Direct,B-2083
2019,13,condo,BELGIUM,Brussels,6,yes,972,3rd Party,B-2084
2019,48,house,BELGIUM,Brussels,6,yes,102,3rd Party,B-2085
2019,13,apartment,ITALY,Rome,6,yes,932,3rd Party,B-2086
2019,48,condo,ITALY,Rome,6,yes,68,3rd Party,B-2087
2020,24,condo,ITALY,Milan,7,yes,65,3rd Party,B-2088
2019,13,apartment,BELGIUM,Brussels,7,no,892,3rd Party,B-2089
2019,25,house,ITALY,Rome,4,no,486,Direct,B-2090
2019,25,condo,FRANCE,Paris,8,yes,483,3rd Party,B-2091
2020,24,house,BELGIUM,Brussels,6,yes,102,3rd Party,B-2092
2019,48,condo,BELGIUM,Brussels,6,yes,79,3rd Party,B-2093
2020,24,house,SPAIN,Madrid,9,yes,99,3rd Party,B-2094
2019,25,condo,SPAIN,Madrid,7,yes,481,3rd Party,B-2095
2020,24,house,BELGIUM,Brussels,9,yes,97,Direct,B-2096
2020,24,condo,FRANCE,Lyon,4,yes,96,3rd Party,B-2097
2019,25,apartment,BELGIUM,Brussels,5,yes,480,3rd Party,B-2098
2020,24,apartment,SPAIN,Madrid,7,yes,94,Direct,B-2099
2019,13,condo,ITALY,Rome,9,yes,905,3rd Party,B-2100
2020,24,condo,SPAIN,Barcelona,4,no,91,3rd Party,B-2101
2020,24,apartment,SPAIN,Madrid,4,no,89,3rd Party,B-2102
2019,13,apartment,BELGIUM,Brussels,4,no,909,3rd Party,B-2103
2019,25,house,BELGIUM,Brussels,4,no,476,3rd Party,B-2104
2020,24,house,FRANCE,Paris,7,yes,85,3rd Party,B-2105
2020,24,house,ITALY,Rome,5,yes,84,3rd Party,B-2106
2019,25,house,FRANCE,Paris,8,yes,475,3rd Party,B-2107
2020,24,apartment,ITALY,Rome,6,no,80,Direct,B-2108
2019,25,apartment,SPAIN,Barcelona,9,yes,474,Direct,B-2109
2020,24,condo,SPAIN,Madrid,5,no,76,3rd Party,B-2110
2020,24,apartment,ITALY,Rome,5,yes,74,3rd Party,B-2111
2019,25,apartment,FRANCE,Paris,9,yes,470,Direct,B-2112
2019,48,house,ITALY,Rome,5,yes,84,3rd Party,B-2113
2020,24,apartment,SPAIN,Madrid,7,no,72,3rd Party,B-2114
2020,24,condo,SPAIN,Madrid,4,no,71,3rd Party,B-2115
2019,48,condo,BELGIUM,Brussels,8,no,87,3rd Party,B-2116
2019,25,condo,ITALY,Rome,9,no,463,3rd Party,B-2117
2020,26,apartment,ITALY,Milan,5,yes,381,3rd Party,B-2118
2019,26,house,SPAIN,Barcelona,7,yes,659,3rd Party,B-2119
2019,45,apartment,BELGIUM,Brussels,7,no,599,3rd Party,B-2120
2020,28,condo,FRANCE,Paris,7,no,649,3rd Party,B-2121
2020,28,apartment,FRANCE,Paris,7,no,676,3rd Party,B-2122
2020,28,apartment,SPAIN,Barcelona,6,yes,675,3rd Party,B-2123
2020,28,apartment,SPAIN,Barcelona,9,yes,674,3rd Party,B-2124
2020,28,apartment,FRANCE,Paris,8,no,673,Direct,B-2125
2019,43,condo,ITALY,Rome,4,yes,424,3rd Party,B-2126
2020,28,house,SPAIN,Madrid,8,yes,670,3rd Party,B-2127
2020,28,apartment,ITALY,Rome,6,yes,669,Direct,B-2128
2020,28,apartment,SPAIN,Madrid,8,yes,668,Direct,B-2129
2020,28,house,SPAIN,Madrid,6,yes,662,3rd Party,B-2130
2020,28,house,SPAIN,Barcelona,7,yes,659,3rd Party,B-2131
2020,28,house,FRANCE,Paris,9,yes,658,Direct,B-2132
2019,27,condo,ITALY,Milan,9,yes,777,3rd Party,B-2133
2020,28,condo,FRANCE,Nice,6,no,652,3rd Party,B-2134
2019,27,condo,SPAIN,Barcelona,6,no,776,3rd Party,B-2135
2020,28,house,SPAIN,Madrid,6,yes,647,3rd Party,B-2136
2020,28,house,SPAIN,Barcelona,8,yes,505,3rd Party,B-2137
2019,27,apartment,BELGIUM,Brussels,8,yes,774,Direct,B-2138
2020,28,condo,FRANCE,Nice,8,no,644,3rd Party,B-2139
2020,28,condo,SPAIN,Barcelona,4,yes,643,3rd Party,B-2140
2019,27,apartment,SPAIN,Barcelona,4,no,773,3rd Party,B-2141
2020,28,house,FRANCE,Paris,7,yes,635,3rd Party,B-2142
2019,27,house,ITALY,Rome,8,yes,772,Direct,B-2143
2020,28,condo,FRANCE,Lyon,7,no,627,3rd Party,B-2144
2020,28,apartment,BELGIUM,Brussels,4,no,624,3rd Party,B-2145
2020,28,apartment,BELGIUM,Brussels,8,no,623,3rd Party,B-2146
2019,27,condo,SPAIN,Madrid,4,no,769,3rd Party,B-2147
2019,43,house,ITALY,Rome,9,yes,441,3rd Party,B-2148
2020,28,house,ITALY,Rome,7,no,619,Direct,B-2149
2019,27,house,SPAIN,Madrid,8,yes,767,3rd Party,B-2150
2019,27,apartment,SPAIN,Barcelona,7,yes,765,3rd Party,B-2151
2020,28,condo,ITALY,Rome,8,yes,677,3rd Party,B-2152
2020,28,apartment,SPAIN,Madrid,5,yes,678,Direct,B-2153
2020,28,condo,BELGIUM,Brussels,6,no,680,3rd Party,B-2154
2020,28,apartment,SPAIN,Barcelona,5,yes,683,3rd Party,B-2155
2019,27,house,FRANCE,Paris,5,yes,801,3rd Party,B-2156
2019,10,condo,BELGIUM,Brussels,5,yes,319,3rd Party,B-2157
2019,27,apartment,ITALY,Milan,4,yes,793,3rd Party,B-2158
2019,43,apartment,ITALY,Rome,8,yes,395,3rd Party,B-2159
2020,28,house,ITALY,Rome,7,no,722,3rd Party,B-2160
2020,28,house,SPAIN,Barcelona,4,yes,721,3rd Party,B-2161
2019,27,condo,FRANCE,Nice,9,yes,790,3rd Party,B-2162
2020,28,apartment,ITALY,Naples,4,yes,716,3rd Party,B-2163
2019,27,apartment,ITALY,Rome,7,yes,788,Direct,B-2164
2020,28,apartment,SPAIN,Barcelona,8,no,712,3rd Party,B-2165
2020,28,house,ITALY,Rome,7,no,711,Direct,B-2166
2019,43,condo,BELGIUM,Brussels,7,yes,399,3rd Party,B-2167
2019,43,condo,BELGIUM,Brussels,6,no,403,3rd Party,B-2168
2020,28,apartment,ITALY,Rome,6,yes,708,Direct,B-2169
2019,27,house,SPAIN,Barcelona,8,yes,785,3rd Party,B-2170
2019,10,apartment,BELGIUM,Brussels,4,no,337,3rd Party,B-2171
2020,28,apartment,SPAIN,Madrid,6,yes,706,3rd Party,B-2172
2020,28,condo,SPAIN,Madrid,6,yes,705,3rd Party,B-2173
2019,43,apartment,BELGIUM,Brussels,8,no,406,3rd Party,B-2174
2020,28,condo,FRANCE,Nice,8,yes,703,3rd Party,B-2175
2020,28,condo,SPAIN,Madrid,6,no,700,3rd Party,B-2176
2019,10,apartment,BELGIUM,Brussels,7,yes,344,3rd Party,B-2177
2020,28,apartment,SPAIN,Barcelona,9,yes,697,3rd Party,B-2178
2019,43,apartment,BELGIUM,Brussels,9,yes,409,3rd Party,B-2179
2020,28,condo,ITALY,Rome,5,no,694,3rd Party,B-2180
2020,28,apartment,SPAIN,Barcelona,7,yes,691,3rd Party,B-2181
2020,28,house,ITALY,Rome,5,no,688,3rd Party,B-2182
2020,28,apartment,BELGIUM,Brussels,8,yes,687,Direct,B-2183
2020,28,house,BELGIUM,Brussels,7,yes,684,Direct,B-2184
2019,10,apartment,ITALY,Rome,8,yes,395,3rd Party,B-2185
2020,28,condo,FRANCE,Lyon,5,no,611,3rd Party,B-2186
2020,28,house,FRANCE,Paris,5,yes,608,3rd Party,B-2187
2019,27,condo,FRANCE,Lyon,4,no,742,3rd Party,B-2188
2020,28,condo,ITALY,Milan,5,yes,544,3rd Party,B-2189
2020,28,house,ITALY,Rome,5,no,543,Direct,B-2190
2020,28,condo,SPAIN,Madrid,5,no,540,3rd Party,B-2191
2020,28,apartment,SPAIN,Madrid,7,no,536,3rd Party,B-2192
2019,27,condo,ITALY,Naples,4,yes,740,3rd Party,B-2193
2019,27,house,SPAIN,Madrid,5,yes,739,3rd Party,B-2194
2019,27,apartment,SPAIN,Barcelona,7,no,738,3rd Party,B-2195
2020,28,apartment,FRANCE,Paris,5,no,530,Direct,B-2196
2019,43,apartment,BELGIUM,Brussels,5,yes,480,3rd Party,B-2197
2019,27,condo,SPAIN,Madrid,6,no,736,3rd Party,B-2198
2019,10,condo,ITALY,Rome,7,yes,455,3rd Party,B-2199
2019,27,condo,SPAIN,Barcelona,8,yes,735,3rd Party,B-2200
2020,28,apartment,FRANCE,Paris,6,yes,523,Direct,B-2201
2019,43,house,ITALY,Rome,5,yes,495,3rd Party,B-2202
2020,28,apartment,BELGIUM,Brussels,7,yes,522,3rd Party,B-2203
2020,28,house,SPAIN,Madrid,9,yes,521,3rd Party,B-2204
2019,27,condo,SPAIN,Madrid,9,yes,733,3rd Party,B-2205
2020,28,apartment,BELGIUM,Brussels,6,no,519,3rd Party,B-2206
2019,43,condo,ITALY,Rome,8,yes,506,3rd Party,B-2207
2019,10,condo,BELGIUM,Brussels,9,yes,465,3rd Party,B-2208
2019,27,house,SPAIN,Barcelona,4,yes,728,3rd Party,B-2209
2020,28,apartment,ITALY,Naples,7,yes,515,3rd Party,B-2210
2019,10,condo,BELGIUM,Brussels,9,no,468,3rd Party,B-2211
2020,28,apartment,SPAIN,Madrid,9,yes,514,Direct,B-2212
2019,27,condo,ITALY,Naples,8,yes,727,3rd Party,B-2213
2019,43,condo,ITALY,Rome,9,yes,513,3rd Party,B-2214
2020,28,house,SPAIN,Madrid,6,yes,509,3rd Party,B-2215
2019,10,condo,ITALY,Rome,6,yes,473,3rd Party,B-2216
2020,28,apartment,SPAIN,Madrid,6,no,508,3rd Party,B-2217
2020,28,house,SPAIN,Madrid,7,yes,545,3rd Party,B-2218
2019,27,apartment,SPAIN,Madrid,4,yes,744,Direct,B-2219
2019,43,apartment,BELGIUM,Brussels,8,yes,454,3rd Party,B-2220
2020,28,apartment,ITALY,Naples,5,yes,548,3rd Party,B-2221
2019,27,condo,ITALY,Milan,6,yes,763,3rd Party,B-2222
2020,28,house,FRANCE,Paris,7,yes,602,3rd Party,B-2223
2020,28,condo,FRANCE,Paris,8,no,601,3rd Party,B-2224
2019,10,condo,BELGIUM,Brussels,4,no,402,3rd Party,B-2225
2020,28,condo,FRANCE,Paris,8,no,597,3rd Party,B-2226
2019,10,apartment,BELGIUM,Brussels,8,no,406,3rd Party,B-2227
2019,27,house,FRANCE,Paris,7,no,759,3rd Party,B-2228
2019,10,apartment,BELGIUM,Brussels,9,yes,409,3rd Party,B-2229
2020,28,condo,SPAIN,Barcelona,8,no,590,3rd Party,B-2230
2019,27,apartment,ITALY,Rome,6,yes,758,3rd Party,B-2231
2020,28,apartment,FRANCE,Paris,5,yes,587,3rd Party,B-2232
2020,28,apartment,BELGIUM,Brussels,7,yes,586,Direct,B-2233
2020,28,apartment,ITALY,Rome,4,yes,585,Direct,B-2234
2020,28,apartment,ITALY,Rome,7,no,583,3rd Party,B-2235
2020,28,condo,SPAIN,Barcelona,9,no,577,3rd Party,B-2236
2020,28,house,SPAIN,Barcelona,7,yes,576,3rd Party,B-2237
2019,43,condo,ITALY,Rome,9,no,463,3rd Party,B-2238
2020,28,apartment,ITALY,Rome,5,yes,569,Direct,B-2239
2019,27,house,FRANCE,Paris,6,yes,755,Direct,B-2240
2019,10,condo,ITALY,Rome,4,yes,424,3rd Party,B-2241
2020,28,apartment,SPAIN,Madrid,6,no,565,3rd Party,B-2242
2020,28,condo,SPAIN,Barcelona,6,no,564,3rd Party,B-2243
2020,28,condo,SPAIN,Barcelona,7,yes,561,3rd Party,B-2244
2020,28,condo,FRANCE,Nice,4,yes,559,3rd Party,B-2245
2020,28,house,SPAIN,Madrid,6,yes,554,3rd Party,B-2246
2019,27,apartment,SPAIN,Barcelona,6,yes,750,Direct,B-2247
2020,28,house,ITALY,Rome,4,no,550,3rd Party,B-2248
2019,27,condo,SPAIN,Barcelona,6,no,748,3rd Party,B-2249
2020,28,condo,ITALY,Rome,7,yes,549,3rd Party,B-2250
2020,28,condo,ITALY,Naples,8,yes,727,3rd Party,B-2251
2019,27,condo,SPAIN,Madrid,7,no,805,3rd Party,B-2252
2019,43,apartment,BELGIUM,Brussels,7,yes,344,3rd Party,B-2253
2020,28,house,FRANCE,Paris,4,no,897,3rd Party,B-2254
2020,28,apartment,BELGIUM,Brussels,7,no,892,3rd Party,B-2255
2019,27,apartment,SPAIN,Madrid,9,no,885,3rd Party,B-2256
2019,43,apartment,ITALY,Rome,7,yes,184,3rd Party,B-2257
2019,10,condo,BELGIUM,Brussels,8,no,200,3rd Party,B-2258
2020,28,apartment,SPAIN,Madrid,9,no,885,3rd Party,B-2259
2019,27,house,ITALY,Rome,5,no,878,3rd Party,B-2260
2020,28,house,ITALY,Rome,5,no,878,Direct,B-2261
2020,28,house,FRANCE,Paris,6,yes,874,Direct,B-2262
2019,43,condo,BELGIUM,Brussels,8,no,200,3rd Party,B-2263
2019,27,house,FRANCE,Paris,6,yes,874,3rd Party,B-2264
2019,27,house,BELGIUM,Brussels,8,no,873,3rd Party,B-2265
2020,28,house,ITALY,Rome,7,no,867,Direct,B-2266
2020,28,condo,ITALY,Rome,5,yes,865,3rd Party,B-2267
2020,28,house,FRANCE,Paris,7,no,864,3rd Party,B-2268
2019,27,condo,FRANCE,Paris,6,yes,871,3rd Party,B-2269
2019,10,house,BELGIUM,Brussels,9,yes,216,3rd Party,B-2270
2019,43,condo,BELGIUM,Brussels,8,no,214,3rd Party,B-2271
2020,28,condo,BELGIUM,Brussels,9,yes,859,3rd Party,B-2272
2020,28,house,SPAIN,Barcelona,7,yes,858,3rd Party,B-2273
2020,28,apartment,ITALY,Rome,9,yes,855,3rd Party,B-2274
2020,28,condo,BELGIUM,Brussels,9,yes,854,3rd Party,B-2275
2020,28,house,ITALY,Rome,6,no,852,3rd Party,B-2276
2019,27,house,ITALY,Rome,7,no,867,3rd Party,B-2277
2020,28,apartment,BELGIUM,Brussels,5,yes,849,Direct,B-2278
2020,28,house,SPAIN,Barcelona,4,yes,848,3rd Party,B-2279
2020,28,apartment,SPAIN,Madrid,6,no,847,3rd Party,B-2280
2019,43,house,BELGIUM,Brussels,9,yes,216,3rd Party,B-2281
2020,28,house,SPAIN,Madrid,7,yes,845,3rd Party,B-2282
2020,28,condo,FRANCE,Paris,5,yes,844,3rd Party,B-2283
2019,10,condo,ITALY,Rome,4,no,193,3rd Party,B-2284
2019,43,house,ITALY,Rome,7,yes,180,3rd Party,B-2285
2020,28,apartment,SPAIN,Barcelona,7,yes,836,3rd Party,B-2286
2020,28,condo,SPAIN,Madrid,9,no,898,3rd Party,B-2287
2020,28,house,FRANCE,Paris,5,no,941,3rd Party,B-2288
2020,28,house,BELGIUM,Brussels,6,yes,939,Direct,B-2289
2020,28,house,BELGIUM,Brussels,5,yes,938,3rd Party,B-2290
2020,28,condo,SPAIN,Barcelona,4,yes,937,3rd Party,B-2291
2020,28,apartment,ITALY,Milan,8,yes,936,3rd Party,B-2292
2020,28,house,ITALY,Rome,5,no,935,Direct,B-2293
2020,28,apartment,ITALY,Rome,9,yes,934,3rd Party,B-2294
2020,28,apartment,BELGIUM,Brussels,4,no,933,3rd Party,B-2295
2020,28,apartment,ITALY,Rome,6,yes,932,3rd Party,B-2296
2019,27,apartment,SPAIN,Barcelona,8,yes,902,3rd Party,B-2297
2020,28,apartment,FRANCE,Paris,4,no,928,Direct,B-2298
2020,28,apartment,SPAIN,Barcelona,4,no,926,3rd Party,B-2299
2019,10,condo,BELGIUM,Brussels,5,no,167,3rd Party,B-2300
2020,28,house,ITALY,Rome,7,yes,923,Direct,B-2301
2020,28,apartment,FRANCE,Paris,5,no,918,3rd Party,B-2302
2020,28,condo,SPAIN,Barcelona,5,no,917,3rd Party,B-2303
2020,28,apartment,ITALY,Milan,5,yes,916,3rd Party,B-2304
2019,27,house,FRANCE,Paris,7,yes,901,Direct,B-2305
2020,28,apartment,SPAIN,Madrid,6,yes,913,3rd Party,B-2306
2019,27,apartment,SPAIN,Barcelona,4,yes,900,Direct,B-2307
2019,27,condo,SPAIN,Madrid,9,no,898,3rd Party,B-2308
2020,28,apartment,BELGIUM,Brussels,4,no,909,3rd Party,B-2309
2019,27,house,FRANCE,Paris,4,no,897,3rd Party,B-2310
2019,43,apartment,ITALY,Rome,9,yes,143,3rd Party,B-2311
2020,28,apartment,SPAIN,Barcelona,8,yes,902,Direct,B-2312
2019,10,apartment,ITALY,Rome,7,yes,184,3rd Party,B-2313
2019,43,condo,BELGIUM,Brussels,5,no,167,3rd Party,B-2314
2020,28,house,FRANCE,Paris,7,yes,901,Direct,B-2315
2020,28,apartment,SPAIN,Barcelona,4,yes,900,3rd Party,B-2316
2020,28,condo,FRANCE,Nice,4,yes,838,3rd Party,B-2317
2019,27,condo,ITALY,Rome,5,yes,865,3rd Party,B-2318
2019,27,apartment,BELGIUM,Brussels,9,no,809,3rd Party,B-2319
2019,10,condo,BELGIUM,Brussels,6,no,274,3rd Party,B-2320
2020,28,apartment,BELGIUM,Brussels,8,yes,774,3rd Party,B-2321
2019,27,apartment,BELGIUM,Brussels,7,yes,830,3rd Party,B-2322
2020,28,house,ITALY,Rome,8,yes,772,Direct,B-2323
2019,43,apartment,BELGIUM,Brussels,6,yes,294,3rd Party,B-2324
2020,28,condo,SPAIN,Barcelona,9,no,768,3rd Party,B-2325
2020,28,house,SPAIN,Madrid,8,yes,767,3rd Party,B-2326
2020,28,condo,BELGIUM,Brussels,6,no,766,3rd Party,B-2327
2020,28,apartment,SPAIN,Barcelona,7,yes,765,3rd Party,B-2328
2020,28,condo,ITALY,Milan,6,yes,763,3rd Party,B-2329
2019,27,house,FRANCE,Paris,6,yes,826,3rd Party,B-2330
2020,28,house,FRANCE,Paris,7,no,759,3rd Party,B-2331
2020,28,apartment,ITALY,Rome,6,yes,758,Direct,B-2332
2020,28,condo,SPAIN,Madrid,7,no,757,3rd Party,B-2333
2020,28,house,FRANCE,Paris,6,yes,755,Direct,B-2334
2019,27,apartment,FRANCE,Paris,9,yes,819,Direct,B-2335
2019,10,condo,BELGIUM,Brussels,5,yes,297,3rd Party,B-2336
2019,27,condo,SPAIN,Barcelona,4,yes,816,3rd Party,B-2337
2020,28,house,FRANCE,Paris,7,no,753,3rd Party,B-2338
2019,27,condo,FRANCE,Nice,4,yes,815,3rd Party,B-2339
2020,28,apartment,SPAIN,Barcelona,6,yes,750,3rd Party,B-2340
2020,28,condo,SPAIN,Barcelona,6,no,748,3rd Party,B-2341
2019,27,condo,BELGIUM,Brussels,7,no,813,3rd Party,B-2342
2020,28,apartment,SPAIN,Madrid,4,yes,744,3rd Party,B-2343
2019,43,apartment,BELGIUM,Brussels,4,no,337,3rd Party,B-2344
2020,28,condo,FRANCE,Lyon,4,no,742,3rd Party,B-2345
2020,28,condo,FRANCE,Paris,6,yes,741,3rd Party,B-2346
2020,28,house,SPAIN,Madrid,5,yes,739,3rd Party,B-2347
2020,28,apartment,SPAIN,Barcelona,7,no,738,3rd Party,B-2348
2019,27,house,SPAIN,Barcelona,8,yes,810,3rd Party,B-2349
2020,28,condo,ITALY,Milan,9,yes,777,3rd Party,B-2350
2019,27,condo,SPAIN,Madrid,4,no,834,3rd Party,B-2351
2020,28,apartment,BELGIUM,Brussels,7,yes,830,Direct,B-2352
2020,28,apartment,SPAIN,Barcelona,5,no,783,3rd Party,B-2353
2019,27,condo,BELGIUM,Brussels,9,yes,859,3rd Party,B-2354
2019,27,house,SPAIN,Barcelona,7,yes,858,3rd Party,B-2355
2020,28,house,FRANCE,Paris,6,yes,826,3rd Party,B-2356
2019,43,apartment,BELGIUM,Brussels,7,yes,230,3rd Party,B-2357
2019,27,apartment,ITALY,Rome,9,yes,855,Direct,B-2358
2020,28,condo,FRANCE,Lyon,5,no,822,3rd Party,B-2359
2019,27,condo,BELGIUM,Brussels,9,yes,854,3rd Party,B-2360
2020,28,apartment,FRANCE,Paris,9,yes,819,Direct,B-2361
2019,27,condo,SPAIN,Madrid,9,no,853,3rd Party,B-2362
2019,27,house,ITALY,Rome,6,no,852,3rd Party,B-2363
2020,28,condo,SPAIN,Barcelona,4,yes,816,3rd Party,B-2364
2020,28,condo,FRANCE,Nice,4,yes,815,3rd Party,B-2365
2020,28,condo,BELGIUM,Brussels,6,yes,811,3rd Party,B-2366
2020,28,house,SPAIN,Barcelona,8,yes,810,3rd Party,B-2367
2020,28,apartment,BELGIUM,Brussels,9,no,809,3rd Party,B-2368
